name,number,url
Alojzov,506761,
Bedihošť,589268,
Bílovice-Lutotín,589276,
Biskupice,589284,
Bohuslavice,589292,
Bousín,589306,
Brodek u Konice,589314,
Brodek u Prostějova,589322,
Březsko,589331,
Budětsko,589349,
Buková,589357,
Čehovice,589365,
Čechy pod Kosířem,589381,
Čelčice,589390,
Čelechovice na Hané,589403,
Dětkovice,589420,
Dobrochov,589438,
Dobromilice,589446,
Doloplazy,589454,
Drahany,589462,
Držovice,558419,
Dřevnovice,589489,
Dzbel,589497,
Hačky,549967,
Hluchov,589501,
Horní Štěpánov,589519,
Hradčany-Kobeřice,589527,
Hrdibořice,589535,
Hrubčice,589543,
Hruška,543543,
Hvozd,589560,
Ivaň,589578,
Jesenec,589586,
Kladky,589594,
Klenovice na Hané,589608,
Klopotovice,589616,
Konice,589624,
Kostelec na Hané,589632,
Koválovice-Osíčany,589641,
Kralice na Hané,589659,
Krumsín,589667,
Laškov,589675,
Lešany,589683,
Lipová,589691,
Ludmírov,589705,
Malé Hradisko,589713,
Mořice,589721,
Mostkovice,589730,
Myslejovice,589748,
Němčice nad Hanou,589756,
Nezamyslice,589764,
Niva,589772,
Obědkovice,589799,
Ohrozim,589802,
Ochoz,589811,
Olšany u Prostějova,589829,
Ondratice,589837,
Otaslavice,589845,
Otinoves,589853,
Pavlovice u Kojetína,557196,
Pěnčín,589870,
Pivín,589888,
Plumlov,589896,
Polomí,549983,
Prostějov,589250,
Prostějovičky,589918,
Protivanov,589926,
Přemyslovice,589934,
Ptení,589942,
Raková u Konice,589951,
Rakůvka,589969,
Rozstání,589977,
Seloutky,506770,
Skalka,589993,
Skřípov,590002,
Slatinky,590011,
Smržice,590029,
Srbce,590045,
Stařechovice,590053,
Stínava,590061,
Stražisko,590070,
Suchdol,590088,
Šubířov,590096,
Tištín,590100,
Tvorovice,590118,
Určice,590126,
Víceměřice,590134,
Vícov,590142,
Vincencov,544710,
Vitčice,590151,
Vranovice-Kelčice,590177,
Vrbátky,590185,
Vrchoslavice,590193,
Vřesovice,590207,
Výšovice,590215,
Zdětín,590223,
Želeč,590240,
,,ps311?xjazyk=CZ&xkraj=12&xobec=506761&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589268&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589276&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589284&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589292&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589306&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589314&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589322&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589331&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589349&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589357&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589365&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589381&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589390&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589403&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589420&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589438&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589446&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589454&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589462&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=558419&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589489&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589497&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=549967&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589501&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589519&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589527&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589535&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589543&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=543543&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589560&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589578&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589586&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589594&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589608&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589616&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589624&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589632&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589641&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589659&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589667&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589675&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589683&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589691&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589705&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589713&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589721&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589730&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589748&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589756&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589764&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589772&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589799&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589802&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589811&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589829&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589837&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589845&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589853&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=557196&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589870&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589888&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589896&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=549983&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589250&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589918&xvyber=7103
,,ps311?xjazyk=CZ&xkraj=12&xobec=589926&xvyber=7103
